cidade,data,ano,mes,temperatura_media,precipitacao,casos
Brasília,2023-11-03,2023,11,23.9,0.6000000000000001,41
Brasília,2023-03-05,2023,3,23.15,0.0,59
Brasília,2023-03-28,2023,3,23.1,0.0,177
Brasília,2023-12-25,2023,12,24.6,3.8,145
Brasília,2023-03-21,2023,3,21.35,4.2,166
Brasília,2023-09-04,2023,9,24.35,0.0,38
Brasília,2023-02-24,2023,2,22.5,0.0,101
Brasília,2024-01-19,2024,1,24.6,0.0,1148
Brasília,2024-07-10,2024,7,21.2,0.0,75
Brasília,2024-06-23,2024,6,18.2,0.0,19
Brasília,2023-05-29,2023,5,21.0,0.0,100
Brasília,2024-07-08,2024,7,20.75,0.0,117
Brasília,2023-02-09,2023,2,23.45,0.0,130
Brasília,2024-06-26,2024,6,19.85,0.0,36
Brasília,2023-12-24,2023,12,23.1,11.4,50
Brasília,2023-03-23,2023,3,22.0,2.0,130
Brasília,2024-11-28,2024,11,23.8,0.0,47
Brasília,2024-07-15,2024,7,17.299999999999997,0.0,90
Brasília,2023-11-17,2023,11,27.099999999999998,0.0,38
Brasília,2023-04-08,2023,4,23.05,0.8,72
Brasília,2023-09-12,2023,9,22.299999999999997,0.0,42
Brasília,2024-11-22,2024,11,22.55,13.2,36
Brasília,2024-10-16,2024,10,22.6,36.6,18
Brasília,2023-09-05,2023,9,26.5,0.0,72
Brasília,2023-05-13,2023,5,20.75,0.0,39
Brasília,2023-07-11,2023,7,20.05,0.0,81
Brasília,2023-10-22,2023,10,24.35,0.2,16
Brasília,2024-01-08,2024,1,22.95,2.4000000000000004,988
Brasília,2024-09-28,2024,9,26.05,0.0,1
Brasília,2023-08-12,2023,8,21.4,0.0,29
Brasília,2023-02-12,2023,2,23.4,0.0,40
Brasília,2024-05-20,2024,5,21.45,0.0,531
Brasília,2023-05-17,2023,5,20.35,0.0,132
Brasília,2024-10-26,2024,10,24.8,0.2,8
Brasília,2024-01-13,2024,1,23.75,18.2,416
Brasília,2024-11-13,2024,11,23.55,6.8,37
Brasília,2024-10-31,2024,10,20.1,2.4000000000000004,15
Brasília,2023-11-19,2023,11,26.2,0.6,20
Brasília,2024-08-16,2024,8,22.6,0.0,50
Brasília,2023-04-12,2023,4,22.35,0.0,119
Brasília,2023-12-28,2023,12,24.5,0.6000000000000001,467
Brasília,2023-06-15,2023,6,21.05,0.0,107
Brasília,2024-01-31,2024,1,22.05,2.0,2228
Brasília,2023-11-21,2023,11,23.65,23.4,54
Brasília,2023-04-14,2023,4,23.35,9.2,141
Brasília,2024-01-11,2024,1,22.5,1.0,771
Brasília,2024-03-16,2024,3,25.6,0.0,1177
Brasília,2024-06-04,2024,6,20.8,0.0,351
Brasília,2023-09-02,2023,9,23.75,1.8,18
Brasília,2024-08-17,2024,8,22.05,0.0,32
Brasília,2023-02-10,2023,2,23.85,1.0,73
Brasília,2024-08-28,2024,8,22.549999999999997,0.0,55
Brasília,2023-07-15,2023,7,19.85,0.0,22
Brasília,2024-02-21,2024,2,22.05,2.4000000000000004,2515
,2024-08-25,2024,8,22.95,0.0,
Brasília,2023-05-22,2023,5,17.7,0.0,150
Brasília,2023-06-04,2023,6,19.4,0.0,55
Brasília,2024-11-27,2024,11,23.450000000000003,4.2,66
Brasília,2024-09-14,2024,9,25.05,0.0,16
Brasília,2023-01-04,2023,1,21.85,1.2,69
Brasília,2024-11-05,2024,11,19.3,44.8,25
Brasília,2024-04-02,2024,4,21.95,70.2,1355
Brasília,2024-03-28,2024,3,23.1,3.8000000000000003,927
Brasília,2024-05-29,2024,5,21.25,0.0,309
Brasília,2024-05-04,2024,5,23.1,0.0,341
Brasília,2023-10-10,2023,10,26.349999999999998,0.0,30
Brasília,2024-05-10,2024,5,19.9,0.0,480
Brasília,2024-01-05,2024,1,21.049999999999997,2.4000000000000004,640
Brasília,2023-01-15,2023,1,22.6,16.6,21
Brasília,2023-09-09,2023,9,23.0,0.0,7
Brasília,2024-03-22,2024,3,23.7,1.0,1719
Brasília,2023-05-26,2023,5,20.3,0.0,97
Brasília,2024-09-24,2024,9,26.099999999999998,0.0,20
Brasília,2024-08-01,2024,8,20.25,0.0,28
Brasília,2024-08-06,2024,8,21.05,0.0,124
Brasília,2023-12-20,2023,12,23.25,3.6000000000000005,326
Brasília,2024-09-30,2024,9,25.049999999999997,0.0,44
Brasília,2023-09-27,2023,9,26.35,0.0,57
Brasília,2024-04-04,2024,4,22.85,14.2,1159
Brasília,2023-11-18,2023,11,25.65,1.2,54
Brasília,2023-05-23,2023,5,18.35,0.0,88
Brasília,2024-07-12,2024,7,20.0,0.0,44
Brasília,2023-09-07,2023,9,21.8,0.0,29
Brasília,2023-11-16,2023,11,27.650000000000002,0.0,44
Brasília,2024-09-02,2024,9,21.95,0.0,14
Brasília,2024-10-11,2024,10,25.5,5.0,13
Brasília,2023-12-15,2023,12,24.9,0.0,228
Brasília,2023-08-26,2023,8,24.15,4.6000000000000005,13
Brasília,2024-09-04,2024,9,23.75,0.0,22
Brasília,2023-06-17,2023,6,20.2,0.4,41
Brasília,2024-04-14,2024,4,23.4,0.0,532
Brasília,2024-10-29,2024,10,22.450000000000003,3.8000000000000003,38
Brasília,2024-06-11,2024,6,19.8,0.0,200
Brasília,2024-08-31,2024,8,21.55,0.0,7
Brasília,2019-02-17,2019,2,21.1,2.6,7
Brasília,2019-12-14,2019,12,22.299999999999997,28.6,8
Brasília,2019-11-11,2019,11,25.75,0.0,19
Brasília,2019-12-19,2019,12,21.8,11.6,31
Brasília,2019-04-29,2019,4,22.75,0.0,375
Brasília,2019-03-18,2019,3,23.1,0.0,172
Brasília,2019-10-19,2019,10,25.700000000000003,0.0,6
Brasília,2019-12-05,2019,12,24.25,13.8,30
Brasília,2019-03-12,2019,3,23.85,0.0,129
Brasília,2019-12-11,2019,12,22.9,0.2,17
Brasília,2019-10-13,2019,10,24.700000000000003,0.0,2
Brasília,2019-02-01,2019,2,23.9,0.0,19
Brasília,2019-04-10,2019,4,22.25,0.0,198
Brasília,2019-12-15,2019,12,23.7,0.0,7
Brasília,2019-02-02,2019,2,24.75,0.0,9
Brasília,2019-03-24,2019,3,22.799999999999997,0.0,15
Brasília,2019-03-14,2019,3,23.65,0.2,98
Brasília,2019-10-28,2019,10,24.85,0.4,8
Brasília,2019-10-27,2019,10,23.799999999999997,0.6000000000000001,4
Brasília,2019-02-28,2019,2,21.700000000000003,26.0,62
Brasília,2019-04-30,2019,4,22.25,0.8,311
Brasília,2019-01-31,2019,1,23.75,0.0,43
Brasília,2019-09-29,2019,9,25.1,3.2,4
Brasília,2019-01-13,2019,1,22.85,0.0,1
Brasília,2019-01-05,2019,1,21.9,1.0,6
Brasília,2019-05-03,2019,5,22.4,20.799999999999997,292
Brasília,2019-05-20,2019,5,19.6,0.0,483
Brasília,2019-01-03,2019,1,23.55,0.0,13
Brasília,2019-09-27,2019,9,21.85,0.0,14
Brasília,2019-02-23,2019,2,23.6,0.4,9
Brasília,2019-02-19,2019,2,22.049999999999997,4.4,67
Brasília,2019-09-11,2019,9,24.15,0.0,13
Brasília,2019-05-07,2019,5,22.8,0.0,324
Brasília,2019-01-02,2019,1,23.049999999999997,0.0,24
Brasília,2019-03-28,2019,3,22.200000000000003,28.000000000000004,179
Brasília,2019-09-24,2019,9,23.549999999999997,0.0,13
Brasília,2019-07-26,2019,7,18.7,0.0,13
Brasília,2019-06-06,2019,6,18.9,0.0,295
Brasília,2019-06-08,2019,6,18.25,0.0,184
Brasília,2019-09-07,2019,9,22.6,0.0,1
Brasília,2019-08-26,2019,8,20.95,0.0,19
Brasília,2019-08-15,2019,8,19.75,0.0,28
Brasília,2019-06-05,2019,6,18.9,0.0,469
Brasília,2019-06-23,2019,6,19.1,0.0,55
Brasília,2022-01-05,2022,1,22.85,0.0,68
Brasília,2022-01-18,2022,1,23.2,0.0,120
Brasília,2022-01-22,2022,1,22.7,0.0,38
Brasília,2022-01-26,2022,1,21.75,0.0,116
Brasília,2022-01-29,2022,1,22.2,0.0,106
Brasília,2022-02-13,2022,2,21.9,12.200000000000001,95
Brasília,2022-02-15,2022,2,22.8,9.2,204
Brasília,2022-02-16,2022,2,22.15,12.2,223
Brasília,2022-03-09,2022,3,21.95,0.0,341
Brasília,2022-03-13,2022,3,23.2,0.4,127
